date,price,multiplier,invest_this_month,shares_bought,total_shares,total_invested,market_value,unrealized_pnl,pnl_pct
2020-01-02,19.94,0.5,1500.0,75.118114,12884.902223,172466.62,256926.73,84460.11,48.97
2020-02-03,18.77,0.6611,1983.35,105.488147,12990.390371,174449.97,243892.94,69442.97,39.81
2020-03-02,18.42,0.6782,2034.49,110.314114,13100.704485,176484.46,241268.5,64784.04,36.71
2020-04-01,16.0,1.2801,3840.27,239.639754,13340.344238,180324.73,213477.42,33152.68,18.38
2020-05-04,17.5,0.9965,2989.38,170.585,13510.929238,183314.11,236432.06,53117.95,28.98
2020-06-01,17.9,1.1312,3393.56,189.315811,13700.24505,186707.67,245233.13,58525.45,31.35
2020-07-01,19.08,1.0224,3067.19,160.520778,13860.765828,189774.87,264471.5,74696.63,39.36
2020-08-03,21.66,0.5179,1553.69,71.623989,13932.389817,191328.56,301795.47,110466.91,57.74
2020-09-01,21.95,0.5123,1536.75,69.917872,14002.307688,192865.31,307324.38,114459.08,59.35
2020-10-05,21.88,0.5,1500.0,68.444408,14070.752096,194365.31,307930.12,113564.81,58.43
2020-11-02,21.96,0.5,1500.0,68.212715,14138.964811,195865.31,310473.91,114608.6,58.51
2020-12-01,24.27,0.5,1500.0,61.707744,14200.672555,197365.31,344700.63,147335.32,74.65
2021-01-04,26.41,0.5,1500.0,56.720514,14257.393069,198865.31,376506.78,177641.47,89.33
2021-02-01,28.37,0.5,1500.0,52.793579,14310.186647,200365.31,406010.28,205644.97,102.64
2021-03-02,28.96,0.5,1500.0,51.725445,14361.912092,201865.31,415892.28,214026.97,106.02
2021-04-01,29.46,0.5,1500.0,50.84907,14412.761162,203365.31,424557.98,221192.67,108.77
2021-05-03,30.0,0.5,1500.0,49.92954,14462.690702,204865.31,433874.74,229009.43,111.79
2021-06-01,29.88,0.5,1500.0,50.12898,14512.819682,206365.31,433646.42,227281.11,110.14
2021-07-01,30.01,0.5,1500.0,49.91149,14562.731172,207865.31,437033.9,229168.59,110.25
2021-08-02,30.0,0.8194,2458.3,81.826219,14644.557391,210323.61,439339.04,229015.43,108.89
2021-09-01,30.67,0.7857,2357.09,76.732636,14721.290027,212680.7,451569.21,238888.51,112.32
2021-10-01,29.14,0.9352,2805.67,96.142683,14817.43271,215486.37,431792.47,216306.1,100.38
2021-11-01,29.7,1.0516,3154.78,106.086094,14923.518804,218641.15,443162.71,224521.56,102.69
2021-12-01,30.52,0.9771,2931.26,95.900106,15019.418911,221572.41,458426.91,236854.49,106.9
2022-01-03,31.85,0.8128,2438.46,76.453343,15095.872254,224010.87,480793.57,256782.7,114.63
2022-02-07,31.64,0.8004,2401.27,75.794261,15171.666514,226412.14,479976.39,253564.25,111.99
2022-03-01,31.23,0.8917,2675.05,85.548032,15257.214546,229087.19,476407.52,247320.33,107.96
2022-04-01,30.45,0.9387,2816.23,92.364814,15349.57936,231903.43,467347.89,235444.46,101.53
2022-05-03,28.41,1.1593,3477.9,122.232491,15471.811851,235381.33,439595.99,204214.66,86.76
